source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
A pillar,80,Cube.082,body,False,"[0.28640031705103075, 0.86407723435984, 0.07000000029802322]","[0.7967998390902988, 1.5479614018935663, -0.8900000192224979]","[1.0832001561413296, 2.4120386362534063, -0.8200000189244747]",24,12
A pillar.001,85,Cube.077,body,False,"[0.28640031705103075, 0.86407723435984, 0.07000000029802322]","[0.7967998390902988, 1.5479614018935663, 0.8200000189244747]","[1.0832001561413296, 2.4120386362534063, 0.8900000192224979]",24,12
Amber turn signal,56,Cube.105,body,False,"[0.07599999755620956, 0.30000001192092896, 0.10999999940395355]","[2.481999982148409, 1.5299999415874481, -0.4293999895453453]","[2.5579999797046185, 1.829999953508377, -0.31939999014139175]",24,12
Amber turn signal.001,59,Cube.103,body,False,"[0.07599999755620956, 0.30000001192092896, 0.10999999940395355]","[2.481999982148409, 1.5299999415874481, 0.31939999014139175]","[2.5579999797046185, 1.829999953508377, 0.4293999895453453]",24,12
B pillar,79,Cube.083,body,False,"[0.10999999940395355, 0.8600000143051147, 0.07000000029802322]","[-0.004999998956918716, 1.5699999928474426, -0.8900000192224979]","[0.10500000044703484, 2.4300000071525574, -0.8200000189244747]",24,12
B pillar.001,84,Cube.078,body,False,"[0.10999999940395355, 0.8600000143051147, 0.07000000029802322]","[-0.004999998956918716, 1.5699999928474426, 0.8200000189244747]","[0.10500000044703484, 2.4300000071525574, 0.8900000192224979]",24,12
Bed floor,98,Cube.068,body,False,"[1.559999942779541, 0.07000000029802322, 1.5399999618530273]","[-2.3299999237060547, 1.744999971240759, -0.7699999809265137]","[-0.7699999809265137, 1.8149999715387821, 0.7699999809265137]",24,12
Bed tonneau cover,97,Cube.069,body,False,"[1.600000023841858, 0.09000000357627869, 1.600000023841858]","[-2.349999964237213, 1.834999993443489, -0.800000011920929]","[-0.7499999403953552, 1.9249999970197678, 0.800000011920929]",24,12
Black honeycomb grille,61,Cube.101,body,False,"[0.05000000074505806, 0.4000000059604645, 0.9599999785423279]","[2.4900001045316458, 1.280000016093254, -0.47999998927116394]","[2.540000105276704, 1.6800000220537186, 0.47999998927116394]",24,12
Black running board,62,Cube.100,body,False,"[2.700000047683716, 0.14000000059604645, 0.20000000298023224]","[-1.400000024586916, 0.6500000283122063, -0.7448000088334084]","[1.3000000230967999, 0.7900000289082527, -0.5448000058531761]",24,12
Black running board.001,64,Cube.098,body,False,"[2.700000047683716, 0.14000000059604645, 0.20000000298023224]","[-1.400000024586916, 0.6500000283122063, 0.5448000058531761]","[1.3000000230967999, 0.7900000289082527, 0.7448000088334084]",24,12
C pillar,78,Cube.084,body,False,"[0.2773624172532574, 0.8695089444955757, 0.07000000029802322]","[-0.8586812372368582, 1.5452455468256985, -0.8900000192224979]","[-0.5813188199836008, 2.414754491321274, -0.8200000189244747]",24,12
C pillar.001,83,Cube.079,body,False,"[0.2773624172532574, 0.8695089444955757, 0.07000000029802322]","[-0.8586812372368582, 1.5452455468256985, 0.8200000189244747]","[-0.5813188199836008, 2.414754491321274, 0.8900000192224979]",24,12
Cooling fan,219,Cylinder.033,body,False,"[0.05000000074505806, 0.5400000214576721, 0.5400000214576721]","[1.6149999853223562, 1.2799999415874481, -0.27000001072883606]","[1.6649999860674143, 1.8199999630451202, 0.27000001072883606]",192,124
Crank pulley,220,Cylinder.032,body,False,"[0.07999999821186066, 0.3400000035762787, 0.3400000035762787]","[0.3999999985098839, 0.9300000220537186, -0.17000000178813934]","[0.47999999672174454, 1.2700000256299973, 0.17000000178813934]",192,124
Crew cab roof and pillars,100,Cube.066,body,False,"[2.700000047683716, 1.2400000095367432, 1.6799999475479126]","[-0.8300000429153442, 1.2100000381469727, -0.8399999737739563]","[1.8700000047683716, 2.450000047683716, 0.8399999737739563]",24,12
Crossmember,195,Cube.006,body,False,"[0.20000000298023224, 0.1599999964237213, 1.559999942779541]","[1.549999974668026, 0.39000000059604645, -0.7799999713897705]","[1.7499999776482582, 0.5499999970197678, 0.7799999713897705]",24,12
Crossmember.001,198,Cube.003,body,False,"[0.20000000298023224, 0.1599999964237213, 1.559999942779541]","[-1.8200000301003456, 0.39000000059604645, -0.7799999713897705]","[-1.6200000271201134, 0.5499999970197678, 0.7799999713897705]",24,12
Crossmember.002,197,Cube.004,body,False,"[0.20000000298023224, 0.1599999964237213, 1.559999942779541]","[-0.8500000014901161, 0.39000000059604645, -0.7799999713897705]","[-0.6499999985098839, 0.5499999970197678, 0.7799999713897705]",24,12
Crossmember.003,196,Cube.005,body,False,"[0.20000000298023224, 0.1599999964237213, 1.559999942779541]","[0.3499999865889549, 0.39000000059604645, -0.7799999713897705]","[0.5499999895691872, 0.5499999970197678, 0.7799999713897705]",24,12
Door handle,75,Cube.087,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[0.4949999824166298, 1.6049999948590994, 0.872599994763732]","[0.6649999842047691, 1.6549999956041574, 0.92259999550879]",24,12
Door handle.001,72,Cube.090,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[0.4949999824166298, 1.6049999948590994, -0.92259999550879]","[0.6649999842047691, 1.6549999956041574, -0.872599994763732]",24,12
Door handle.002,69,Cube.093,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[-0.33500000089406967, 1.6049999948590994, 0.872599994763732]","[-0.16499999910593033, 1.6549999956041574, 0.92259999550879]",24,12
Door handle.003,66,Cube.096,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[-0.33500000089406967, 1.6049999948590994, -0.92259999550879]","[-0.16499999910593033, 1.6549999956041574, -0.872599994763732]",24,12
Door lower protective molding,76,Cube.086,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[0.1199999749660492, 1.08500000461936, 0.862400010228157]","[0.8400000035762787, 1.1550000049173832, 0.9064000099897385]",24,12
Door lower protective molding.001,73,Cube.089,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[0.1199999749660492, 1.08500000461936, -0.9064000099897385]","[0.8400000035762787, 1.1550000049173832, -0.862400010228157]",24,12
Door lower protective molding.002,70,Cube.092,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[-0.7100000083446503, 1.08500000461936, 0.862400010228157]","[0.010000020265579224, 1.1550000049173832, 0.9064000099897385]",24,12
Door lower protective molding.003,67,Cube.095,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[-0.7100000083446503, 1.08500000461936, -0.9064000099897385]","[0.010000020265579224, 1.1550000049173832, -0.862400010228157]",24,12
Ford oval badge,54,Cube.106,body,False,"[0.029999999329447746, 0.10999999940395355, 0.23999999463558197]","[2.5349999526515603, 1.4350000098347664, -0.11999999731779099]","[2.564999951981008, 1.54500000923872, 0.11999999731779099]",24,12
Frame left rail,200,Cube.001,body,False,"[4.900000095367432, 0.18000000715255737, 0.15000000596046448]","[-2.450000047683716, 0.38999998569488525, 0.6550000160932541]","[2.450000047683716, 0.5699999928474426, 0.8050000220537186]",24,12
Frame right rail,199,Cube.002,body,False,"[4.900000095367432, 0.18000000715255737, 0.15000000596046448]","[-2.450000047683716, 0.38999998569488525, -0.8050000220537186]","[2.450000047683716, 0.5699999928474426, -0.6550000160932541]",24,12
Front CV joint,160,Cylinder.064,body,False,"[0.15000000596046448, 0.15000000596046448, 0.11999999731779099]","[1.3950000256299973, 0.6249999850988388, 0.3172000087797642]","[1.5450000315904617, 0.7749999910593033, 0.43720000609755516]",192,124
Front CV joint.001,158,Cylinder.065,body,False,"[0.15000000596046448, 0.15000000596046448, 0.11999999731779099]","[1.3950000256299973, 0.6249999850988388, -0.43720000609755516]","[1.5450000315904617, 0.7749999910593033, -0.3172000087797642]",192,124
Front fascia,95,Cube.071,body,False,"[0.3199999928474426, 0.8399999737739563, 1.7200000286102295]","[2.17999991774559, 0.7599999606609344, -0.8600000143051147]","[2.499999910593033, 1.5999999344348907, 0.8600000143051147]",24,12
Front halfshaft,161,Front halfshaft,body,False,"[0.5829249620437622, 0.18441271781921387, 0.46381937712430954]","[0.9920909404754639, 0.5774067640304565, -0.03529994934797287]","[1.575015902519226, 0.7618194818496704, 0.42851942777633667]",275,480
Front halfshaft.001,159,Front halfshaft.001,body,False,"[0.5829249620437622, 0.18441277742385864, 0.46381938457489014]","[0.9920909404754639, 0.5774067044258118, -0.42851942777633667]","[1.575015902519226, 0.7618194818496704, 0.03529995679855347]",275,480
Front seat,106,Cube.049,body,False,"[0.7200000286102295, 0.4399999976158142, 0.6000000238418579]","[-0.3100000135600567, 1.079999953508377, 0.09999999403953552]","[0.4100000150501728, 1.5199999511241913, 0.7000000178813934]",24,12
Front seat back,105,Cube.050,body,False,"[0.20000000298023224, 0.6800000071525574, 0.6000000238418579]","[-0.020000003278255463, 1.3099999725818634, 0.09999999403953552]","[0.17999999970197678, 1.9899999797344208, 0.7000000178813934]",24,12
Front seat back.001,103,Cube.052,body,False,"[0.20000000298023224, 0.6800000071525574, 0.6000000238418579]","[-0.020000003278255463, 1.3099999725818634, -0.7000000178813934]","[0.17999999970197678, 1.9899999797344208, -0.09999999403953552]",24,12
Front seat.001,104,Cube.051,body,False,"[0.7200000286102295, 0.4399999976158142, 0.6000000238418579]","[-0.3100000135600567, 1.079999953508377, -0.7000000178813934]","[0.4100000150501728, 1.5199999511241913, -0.09999999403953552]",24,12
Front side window,87,Cube.075,body,False,"[0.7799999713897705, 0.6200000047683716, 0.05000000074505806]","[0.09000000357627869, 1.7099999785423279, 0.8300000187009573]","[0.8699999749660492, 2.3299999833106995, 0.8800000194460154]",24,12
Front side window.001,82,Cube.080,body,False,"[0.7799999713897705, 0.6200000047683716, 0.05000000074505806]","[0.09000000357627869, 1.7099999785423279, -0.8800000194460154]","[0.8699999749660492, 2.3299999833106995, -0.8300000187009573]",24,12
Front stabilizer bar,164,Front stabilizer bar,body,False,"[0.7274680137634277, 0.12757626175880432, 0.3866874873638153]","[0.8429826498031616, 0.46539321541786194, 0.36171624064445496]","[1.5704506635665894, 0.5929694771766663, 0.7484037280082703]",275,480
Front stabilizer bar.001,163,Front stabilizer bar.001,body,False,"[0.7274680137634277, 0.12757626175880432, 0.3866874873638153]","[0.8429826498031616, 0.46539321541786194, -0.7484037280082703]","[1.5704506635665894, 0.5929694771766663, -0.36171624064445496]",275,480
Headlight housing,60,Cube.102,body,False,"[0.07000000029802322, 0.3199999928474426, 0.47999998927116394]","[2.4749999903142452, 1.5199999511241913, 0.2799999862909317]","[2.5449999906122684, 1.839999943971634, 0.7599999755620956]",24,12
Headlight housing.001,57,Cube.104,body,False,"[0.07000000029802322, 0.3199999928474426, 0.47999998927116394]","[2.4749999903142452, 1.5199999511241913, -0.7599999755620956]","[2.5449999906122684, 1.839999943971634, -0.2799999862909317]",24,12
Instrument panel,107,Cube.048,body,False,"[0.36000001430511475, 0.3199999928474426, 1.440000057220459]","[0.699999988079071, 1.820000022649765, -0.7200000286102295]","[1.0600000023841858, 2.1400000154972076, 0.7200000286102295]",24,12
Label_2 m reference,4,Label_2 m reference,body,True,"[0.5696803629398346, 0.07308651730390311, 0.0332524069244684]","[-0.2847500443458557, 0.1959067787921094, 1.6928300906694078]","[0.2849303185939789, 0.2689932960960125, 1.7260824975938762]",13024,21980
Label_2004 FORD EXPLORER SPORT TRAC,12,Label_2004 FORD EXPLORER SPORT TRAC,body,True,"[3.8440001010894775, 0.1662641615063456, 0.06352482989676855]","[-1.923319935798645, 3.094702288259216, 1.4929475926539977]","[1.9206801652908325, 3.2609664497655615, 1.5564724225507662]",21764,36416
Label_Frame rail,6,Label_Frame rail,body,True,"[0.43740008771419525, 0.07876376887174696, 0.03509702375487089]","[-0.21809504926204681, 0.5458205777315518, 0.9210133097606064]","[0.21930503845214844, 0.6245843466032988, 0.9561103335154773]",10376,17492
Long hood,96,Cube.070,body,False,"[1.7281100196624273, 0.28974375474586833, 1.659999966621399]","[0.6059450187790159, 1.835128141700552, -0.8299999833106995]","[2.334055038441443, 2.1248718964464204, 0.8299999833106995]",24,12
