source_layer,source_file,source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,A pillar,72,A pillar,body,False,"[0.28640031705103075, 0.86407723435984, 0.07000000029802322]","[0.7967998390902988, 1.5479614018935663, -0.8900000192224979]","[1.0832001561413296, 2.4120386362534063, -0.8200000189244747]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,A pillar.001,67,A pillar.001,body,False,"[0.28640031705103075, 0.86407723435984, 0.07000000029802322]","[0.7967998390902988, 1.5479614018935663, 0.8200000189244747]","[1.0832001561413296, 2.4120386362534063, 0.8900000192224979]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Amber turn signal,96,Amber turn signal,body,False,"[0.07599999755620956, 0.30000001192092896, 0.10999999940395355]","[2.481999982148409, 1.5299999415874481, -0.4293999895453453]","[2.5579999797046185, 1.829999953508377, -0.31939999014139175]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Amber turn signal.001,93,Amber turn signal.001,body,False,"[0.07599999755620956, 0.30000001192092896, 0.10999999940395355]","[2.481999982148409, 1.5299999415874481, 0.31939999014139175]","[2.5579999797046185, 1.829999953508377, 0.4293999895453453]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,B pillar,73,B pillar,body,False,"[0.10999999940395355, 0.8600000143051147, 0.07000000029802322]","[-0.004999998956918716, 1.5699999928474426, -0.8900000192224979]","[0.10500000044703484, 2.4300000071525574, -0.8200000189244747]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,B pillar.001,68,B pillar.001,body,False,"[0.10999999940395355, 0.8600000143051147, 0.07000000029802322]","[-0.004999998956918716, 1.5699999928474426, 0.8200000189244747]","[0.10500000044703484, 2.4300000071525574, 0.8900000192224979]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Bed floor,54,Bed floor,body,False,"[1.559999942779541, 0.07000000029802322, 1.5399999618530273]","[-2.3299999237060547, 1.744999971240759, -0.7699999809265137]","[-0.7699999809265137, 1.8149999715387821, 0.7699999809265137]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Bed tonneau cover,55,Bed tonneau cover,body,False,"[1.600000023841858, 0.09000000357627869, 1.600000023841858]","[-2.349999964237213, 1.834999993443489, -0.800000011920929]","[-0.7499999403953552, 1.9249999970197678, 0.800000011920929]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Black honeycomb grille,91,Black honeycomb grille,body,False,"[0.05000000074505806, 0.4000000059604645, 0.9599999785423279]","[2.4900001045316458, 1.280000016093254, -0.47999998927116394]","[2.540000105276704, 1.6800000220537186, 0.47999998927116394]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Black running board,90,Black running board,body,False,"[2.700000047683716, 0.14000000059604645, 0.20000000298023224]","[-1.400000024586916, 0.6500000283122063, -0.7448000088334084]","[1.3000000230967999, 0.7900000289082527, -0.5448000058531761]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Black running board.001,88,Black running board.001,body,False,"[2.700000047683716, 0.14000000059604645, 0.20000000298023224]","[-1.400000024586916, 0.6500000283122063, 0.5448000058531761]","[1.3000000230967999, 0.7900000289082527, 0.7448000088334084]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,C pillar,74,C pillar,body,False,"[0.2773624172532574, 0.8695089444955757, 0.07000000029802322]","[-0.8586812372368582, 1.5452455468256985, -0.8900000192224979]","[-0.5813188199836008, 2.414754491321274, -0.8200000189244747]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,C pillar.001,69,C pillar.001,body,False,"[0.2773624172532574, 0.8695089444955757, 0.07000000029802322]","[-0.8586812372368582, 1.5452455468256985, 0.8200000189244747]","[-0.5813188199836008, 2.414754491321274, 0.8900000192224979]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Cooling fan,3,Cooling fan,body,False,"[0.05000000074505806, 0.5400000214576721, 0.5400000214576721]","[1.6149999853223562, 1.2799999415874481, -0.27000001072883606]","[1.6649999860674143, 1.8199999630451202, 0.27000001072883606]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Crank pulley,2,Crank pulley,body,False,"[0.07999999821186066, 0.3400000035762787, 0.3400000035762787]","[0.3999999985098839, 0.9300000220537186, -0.17000000178813934]","[0.47999999672174454, 1.2700000256299973, 0.17000000178813934]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Crew cab roof and pillars,52,Crew cab roof and pillars,body,False,"[2.700000047683716, 1.2400000095367432, 1.6799999475479126]","[-0.8300000429153442, 1.2100000381469727, -0.8399999737739563]","[1.8700000047683716, 2.450000047683716, 0.8399999737739563]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Crossmember,10,Crossmember,body,False,"[0.20000000298023224, 0.1599999964237213, 1.559999942779541]","[1.549999974668026, 0.39000000059604645, -0.7799999713897705]","[1.7499999776482582, 0.5499999970197678, 0.7799999713897705]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Crossmember.001,7,Crossmember.001,body,False,"[0.20000000298023224, 0.1599999964237213, 1.559999942779541]","[-1.8200000301003456, 0.39000000059604645, -0.7799999713897705]","[-1.6200000271201134, 0.5499999970197678, 0.7799999713897705]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Crossmember.002,8,Crossmember.002,body,False,"[0.20000000298023224, 0.1599999964237213, 1.559999942779541]","[-0.8500000014901161, 0.39000000059604645, -0.7799999713897705]","[-0.6499999985098839, 0.5499999970197678, 0.7799999713897705]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Crossmember.003,9,Crossmember.003,body,False,"[0.20000000298023224, 0.1599999964237213, 1.559999942779541]","[0.3499999865889549, 0.39000000059604645, -0.7799999713897705]","[0.5499999895691872, 0.5499999970197678, 0.7799999713897705]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door handle,77,Door handle,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[0.4949999824166298, 1.6049999948590994, 0.872599994763732]","[0.6649999842047691, 1.6549999956041574, 0.92259999550879]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door handle.001,80,Door handle.001,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[0.4949999824166298, 1.6049999948590994, -0.92259999550879]","[0.6649999842047691, 1.6549999956041574, -0.872599994763732]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door handle.002,83,Door handle.002,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[-0.33500000089406967, 1.6049999948590994, 0.872599994763732]","[-0.16499999910593033, 1.6549999956041574, 0.92259999550879]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door handle.003,86,Door handle.003,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[-0.33500000089406967, 1.6049999948590994, -0.92259999550879]","[-0.16499999910593033, 1.6549999956041574, -0.872599994763732]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door lower protective molding,76,Door lower protective molding,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[0.1199999749660492, 1.08500000461936, 0.862400010228157]","[0.8400000035762787, 1.1550000049173832, 0.9064000099897385]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door lower protective molding.001,79,Door lower protective molding.001,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[0.1199999749660492, 1.08500000461936, -0.9064000099897385]","[0.8400000035762787, 1.1550000049173832, -0.862400010228157]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door lower protective molding.002,82,Door lower protective molding.002,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[-0.7100000083446503, 1.08500000461936, 0.862400010228157]","[0.010000020265579224, 1.1550000049173832, 0.9064000099897385]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door lower protective molding.003,85,Door lower protective molding.003,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[-0.7100000083446503, 1.08500000461936, -0.9064000099897385]","[0.010000020265579224, 1.1550000049173832, -0.862400010228157]",24,12
