page	title	categories	matched_excerpt
pages/1008.html	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Steering and Suspension >> Steering >> Tilt Wheel Handle >> Parts Information Parts Information Part Manufacturer OEM Part # Price Notes Tilt Lever FOR F5TZ3D544A 11.50 scientia non olet · About LEMON Manuals
pages/1012.html	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Steering and Suspension >> Steering >> Steering Wheel >> Parts Information Parts Information Part Manufacturer OEM Part # Price Notes Steering Wheel Without Leather Without Cruise Control FOR F87Z3600AAD 228.27 Order By Description. With Leather FOR 5L2Z3600CB 334.47 Contact Dealer for most current part and price information. Order By Description. scientia non olet · About LEMON Manuals
pages/1013.html	Steering Wheel: Labor Times — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Steering Wheel: Labor Times — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Steering and Suspension >> Steering >> Steering Wheel >> Labor Times Steering Wheel: Labor Times Standard Hours Manufacturer Warranty Hours Skill Level Notes Replace 0.8 0.7 B WARNING: Before Repairing Any Air Restraint System, The Battery Cables And Any Back-up Power Supplies To The System Must Be Disconnected In Order To Prevent Accidental Deployment. scientia non olet · About LEMON Manuals
pages/1015.html	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Steering and Suspension >> Steering >> Steering Shaft >> Parts Information Parts Information Part Manufacturer OEM Part # Price Notes Lower Shaft & Joint Assembly FOR 7L5Z3B676A 214.00 Intermediate Shaft FOR 2L5Z3E751AA 128.98 Upper Shaft Without Tilt Wheel FOR F5TZ3524A 118.77 With Tilt Wheel FOR F2UZ3524A 229.82 scientia non olet · About LEMON Manuals
pages/1023.html	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Steering and Suspension >> Steering >> Steering Column Cover >> Parts Information Parts Information Part Manufacturer OEM Part # Price Notes Lower Shroud Without Tilt Wheel FOR F87Z3530FA 17.33 With Tilt Wheel FOR F87Z3530EA 18.40 Upper Shroud FOR F57Z3530A 25.07 scientia non olet · About LEMON Manuals
pages/1036.html	Tire Pressure Sensor: Labor Times — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Tire Pressure Sensor: Labor Times — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Steering and Suspension >> Sensors and Switches - Steering and Suspension >> Sensors and Switches - Wheels and Tires >> Tire Pressure Sensor >> Labor Times Tire Pressure Sensor: Labor Times Standard Hours Manufacturer Warranty Hours Skill Level Notes Replace Front One 0.6 0.0 B Does Not Include Relearn. Both 0.8 0.0 B Does Not Include Relearn. Rear One 0.6 0.0 B Does Not Include Relearn. Both 0.8 0.0 B Does Not Incl
pages/1037.html	Alignment: Labor Times — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Alignment: Labor Times — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Steering and Suspension >> Alignment >> Labor Times Alignment: Labor Times Standard Hours Manufacturer Warranty Hours Skill Level Notes Align Toe-In, Adjust 0.6 0.0 B Front Wheel Alignment 1.4 0.0 B Includes: Check & Adjust Camber & Toe-In. Rear Wheel Alignment Wheel Alignment, Inspect 0.5 0.0 B Check 0.5 0.0 B Includes: Check & Adjust Camber & Toe-In. scientia non olet · About LEMON Manuals
pages/1061.html	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Starting and Charging >> Charging System >> Alternator Bearing >> Parts Information Parts Information Part Manufacturer OEM Part # Price Notes Front Bearing Part Of Alternator Assembly Rear Bearing Part Of Alternator Assembly scientia non olet · About LEMON Manuals
pages/1072.html	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Parts Information — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Brakes and Traction Control >> Sensors and Switches - Brakes and Traction Control >> Wheel Speed Sensor >> Parts Information Parts Information Part Manufacturer OEM Part # Price Notes Front Speed Sensor Right FOR 6L5Z2C204BA 66.85 Left FOR 6L5Z2C204BA 66.85 Rear Speed Sensor FOR F85Z2L373AC 27.95 scientia non olet · About LEMON Manuals
pages/1073.html	Wheel Speed Sensor: Labor Times — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals	wheel_axle	Wheel Speed Sensor: Labor Times — 2004 Ford Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel Service Manual ~ LEMON Manuals LEMON Manuals : Even more car manuals for everyone: 1960-2025 Home >> Ford >> 2004 >> Explorer Sport Trac 2WD V6-4.0L VIN K Flex Fuel >> Parts and Labor >> Brakes and Traction Control >> Sensors and Switches - Brakes and Traction Control >> Wheel Speed Sensor >> Labor Times Wheel Speed Sensor: Labor Times Standard Hours Manufacturer Warranty Hours Skill Level Notes Replace Front Sensor Ring One Side 0.6 0.5 B Both Sides 1.3 1.0 B Front Speed Sensor One Side 0.4 0.3 B Both Sides 0.6 0.5 B Rear Sensor Ring See DIFFERENTIAL CASE Rear Speed Sensor 0.5 0.3 B scientia non olet
